customer_id,gender,age,age_group,occupation,married,customer_segment,credit_sco,balance,monthly_ir,tenure_ye,nums_card,nums_service,active_member,digital_behavior,engagement_score,engagement_category,is_highly_engaged,loyalty_level,customer_value,risk_score,risk_segment,current_churn_risk,exit,churn_status,customer_region
39,Female,40,36-45,Engineer / IT Professional,1,Emerging,766,83301190,31000000,2,3,4,0,offline,24,Medium,0,Bronze,Medium Value,0.238,Low,High Risk,0,Active,East Midlands
40,Female,44,36-45,Manager / Executive,1,Priority,757,86690479,106000000,2,5,4,0,offline,30,Medium,0,Bronze,Medium Value,0.1995,Low,High Risk,0,Active,South East
41,Male,61,56-65,Engineer / IT Professional,1,Priority,740,103947596,60000000,2,5,7,1,mobile,90,High,1,Silver,High Value,0.0548,Low,Low Risk,0,Active,South East
42,Male,72,65+,Accounting / Finance,0,Emerging,642,70193558,32000000,3,5,1,0,offline,19,Low,0,Bronze,Low Value,0.3335,Low,High Risk,0,Active,South East
43,Female,53,46-55,Engineer / IT Professional,1,Affluent,711,66310911,48000000,2,5,1,0,offline,19,Low,0,Bronze,Low Value,0.2442,Low,High Risk,0,Active,South East
44,Female,38,36-45,Retired,1,Emerging,747,23881897,19000000,1,4,4,0,offline,27,Medium,0,Bronze,Medium Value,0.2771,Low,High Risk,0,Active,East of England
45,Male,47,46-55,Teacher / Lecturer,1,Emerging,694,11078882,19000000,0,4,4,1,mobile,69,High,1,Bronze,Medium Value,0.1873,Low,Medium Risk,0,Active,East of England
46,Female,77,65+,Accounting / Finance,3,Emerging,649,53004227,18000000,3,2,4,0,offline,21,Medium,0,Bronze,Medium Value,0.3204,Low,Already Churned,1,Churned,London
47,Female,49,46-55,Office Worker / Civil Servant,0,Emerging,651,12827164,16000000,2,2,2,0,offline,14,Low,0,Bronze,Low Value,0.3646,Low,High Risk,0,Active,South West
48,Female,43,36-45,Accounting / Finance,0,Affluent,634,38693250,36000000,0,5,6,1,mobile,84,High,1,Bronze,High Value,0.1732,Low,Medium Risk,0,Active,West Midlands
49,Male,44,36-45,Business / Sales,1,Affluent,621,77495047,36000000,3,1,2,0,offline,10,Low,0,Bronze,Low Value,0.3329,Low,High Risk,0,Active,South East
50,Male,53,46-55,Manager / Executive,1,Affluent,659,24190615,44000000,1,2,5,0,offline,25,Medium,0,Bronze,Medium Value,0.2554,Low,High Risk,0,Active,Other UK Region
51,Male,36,36-45,Small Business Owner,1,Priority,710,150135757,141000000,3,2,4,0,offline,21,Medium,0,Bronze,Medium Value,0.1929,Low,High Risk,0,Active,North East
52,Female,40,36-45,Student / Homemaker,1,Mass,674,1884798,7000000,1,4,3,0,offline,23,Medium,0,Bronze,Medium Value,0.3702,Low,Already Churned,1,Churned,South East
53,Male,63,56-65,Office Worker / Civil Servant,1,Emerging,669,16638319,16000000,0,2,1,1,mobile,65,High,1,Bronze,Medium Value,0.2509,Low,Medium Risk,0,Active,South East
54,Male,52,46-55,Office Worker / Civil Servant,1,Emerging,658,9265746,19000000,0,2,1,0,offline,10,Low,0,Bronze,Low Value,0.368,Low,Already Churned,1,Churned,South East
55,Female,49,46-55,Business / Sales,1,Emerging,568,30970808,27000000,0,3,4,0,offline,24,Medium,0,Bronze,Medium Value,0.3899,Low,Already Churned,1,Churned,South East
56,Male,64,56-65,Engineer / IT Professional,1,Priority,675,79111754,65000000,1,3,6,1,mobile,86,High,1,Silver,High Value,0.0956,Low,Low Risk,0,Active,South West
57,Male,38,36-45,Engineer / IT Professional,1,Affluent,718,59232333,55000000,3,3,4,0,offline,24,Medium,0,Bronze,Medium Value,0.2041,Low,High Risk,0,Active,East Midlands
58,Male,42,36-45,Retired,0,Emerging,630,8628480,21000000,2,1,4,0,offline,18,Low,0,Bronze,Low Value,0.3553,Low,High Risk,0,Active,East of England
59,Female,52,46-55,Retired,1,Emerging,650,54717669,20000000,0,1,2,1,mobile,58,High,1,Bronze,High Value,0.2351,Low,Medium Risk,0,Active,South West
60,Female,51,46-55,Office Worker / Civil Servant,1,Emerging,633,13069175,24000000,0,1,3,0,offline,14,Low,0,Bronze,Low Value,0.3538,Low,Already Churned,1,Churned,South East
61,Male,30,26-35,Office Worker / Civil Servant,3,Mass,701,16010903,14000000,3,2,2,0,offline,14,Low,0,Bronze,Low Value,0.3169,Low,High Risk,0,Active,South East
62,Female,41,36-45,Office Worker / Civil Servant,0,Emerging,768,38285871,25000000,3,1,2,0,offline,10,Low,0,Bronze,Low Value,0.2844,Low,High Risk,0,Active,South East
63,Female,45,36-45,Office Worker / Civil Servant,1,Mass,725,9848272,14000000,4,2,1,0,offline,10,Low,0,Bronze,Low Value,0.3352,Low,Already Churned,1,Churned,South East
64,Male,54,46-55,Office Worker / Civil Servant,0,Mass,632,34938636,10000000,2,2,2,0,offline,14,Low,0,Bronze,Low Value,0.3835,Low,High Risk,0,Active,Other UK Region
65,Male,51,46-55,Retired,1,Emerging,701,15341936,18000000,2,3,1,0,offline,13,Low,0,Bronze,Low Value,0.3219,Low,High Risk,0,Active,Other UK Region
66,Male,46,46-55,Retired,2,Mass,664,16105490,7000000,4,4,7,1,mobile,84,High,1,Gold,Medium Value,0.1993,Low,Low Risk,0,Active,South East
67,Male,26,26-35,Teacher / Lecturer,0,Emerging,606,21577458,17000000,2,4,5,0,offline,31,Medium,0,Bronze,Medium Value,0.3638,Low,Already Churned,1,Churned,South West
68,Male,47,46-55,Business / Sales,3,Emerging,661,14111720,18000000,2,3,3,0,offline,20,Low,0,Bronze,Medium Value,0.3369,Low,High Risk,0,Active,South East
69,Male,48,46-55,Retired,1,Emerging,645,43900143,18000000,3,2,1,0,offline,10,Low,0,Bronze,Low Value,0.3642,Low,High Risk,0,Active,Other UK Region
70,Female,90,65+,Accounting / Finance,1,Emerging,692,41728586,33000000,0,2,2,1,mobile,68,High,1,Bronze,High Value,0.1703,Low,Medium Risk,0,Active,Other UK Region
71,Male,44,36-45,Business / Sales,1,Affluent,709,95890054,44000000,2,3,8,0,offline,39,High,1,Silver,High Value,0.1603,Low,High Risk,0,Active,South East
72,Female,52,46-55,Accounting / Finance,1,Emerging,709,27759352,33000000,0,2,4,0,offline,21,Medium,0,Bronze,Medium Value,0.2472,Low,High Risk,0,Active,Other UK Region
73,Male,68,65+,Small Business Owner,1,Priority,730,139627377,77000000,4,1,2,0,offline,10,Low,0,Bronze,Low Value,0.2188,Low,High Risk,0,Active,East of England
74,Female,60,56-65,Small Business Owner,1,Priority,712,225395955,77000000,2,3,1,0,offline,13,Low,0,Bronze,Low Value,0.2255,Low,High Risk,0,Active,West Midlands
75,Male,73,65+,Office Worker / Civil Servant,0,Emerging,661,51722069,27000000,3,3,1,0,offline,13,Low,0,Bronze,Low Value,0.3282,Low,High Risk,0,Active,Other UK Region
76,Male,30,26-35,Retired,1,Mass,664,12396100,14000000,2,4,1,0,offline,16,Low,0,Bronze,Low Value,0.3685,Low,Already Churned,1,Churned,South East
77,Female,34,26-35,Student / Homemaker,0,Mass,612,16073200,10000000,3,2,1,0,offline,10,Low,0,Bronze,Low Value,0.4253,Medium,High Risk,0,Active,West Midlands
78,Female,39,36-45,Business / Sales,1,Mass,628,18238068,12000000,3,1,2,0,offline,10,Low,0,Bronze,Low Value,0.3913,Low,High Risk,0,Active,West Midlands
79,Female,29,26-35,Teacher / Lecturer,1,Emerging,680,16042992,20000000,1,4,5,0,offline,31,Medium,0,Bronze,Medium Value,0.2874,Low,High Risk,0,Active,South East
80,Male,48,46-55,Manager / Executive,0,Affluent,664,73463069,49000000,4,3,1,0,offline,13,Low,0,Bronze,Low Value,0.277,Low,High Risk,0,Active,West Midlands
81,Male,35,26-35,Student / Homemaker,1,Mass,659,13058726,11000000,2,2,1,0,offline,10,Low,0,Bronze,Low Value,0.3788,Low,Already Churned,1,Churned,West Midlands
82,Female,77,65+,Teacher / Lecturer,3,Mass,674,11449756,14000000,3,3,2,0,offline,16,Low,0,Bronze,Low Value,0.3469,Low,Already Churned,1,Churned,North East
83,Female,37,36-45,Small Business Owner,0,Priority,761,77299805,107000000,0,3,5,0,offline,28,Medium,0,Bronze,Medium Value,0.1884,Low,High Risk,0,Active,East Midlands
84,Female,43,36-45,Student / Homemaker,2,Mass,656,5591463,6000000,2,2,1,0,offline,10,Low,0,Bronze,Low Value,0.4021,Medium,Already Churned,1,Churned,North West
85,Female,61,56-65,Office Worker / Civil Servant,2,Emerging,684,12696392,16000000,1,3,1,0,offline,13,Low,0,Bronze,Low Value,0.3442,Low,High Risk,0,Active,West Midlands
86,Male,32,26-35,Manual Worker,2,Mass,665,5094077,12000000,0,2,5,1,mobile,70,High,1,Bronze,Medium Value,0.2272,Low,Medium Risk,0,Active,Other UK Region
87,Female,28,26-35,Accounting / Finance,0,Emerging,782,61654987,22000000,3,1,1,0,offline,7,Low,0,Bronze,Low Value,0.2971,Low,High Risk,0,Active,South East
88,Male,50,46-55,Small Business Owner,2,Priority,800,147932987,93000000,1,3,3,0,offline,20,Low,0,Bronze,Medium Value,0.2056,Low,High Risk,0,Active,South East
89,Female,51,46-55,Manager / Executive,1,Affluent,754,235182325,53000000,3,3,5,0,offline,28,Medium,0,Bronze,Medium Value,0.175,Low,High Risk,0,Active,South East
90,Male,60,56-65,Teacher / Lecturer,2,Mass,617,16030584,13000000,1,2,2,0,offline,14,Low,0,Bronze,Low Value,0.4019,Medium,Already Churned,1,Churned,North East
91,Male,56,56-65,Teacher / Lecturer,1,Emerging,740,15606474,26000000,0,2,4,0,offline,21,Medium,0,Bronze,Medium Value,0.2682,Low,High Risk,0,Active,South East
92,Male,52,46-55,Teacher / Lecturer,0,Emerging,639,17292327,20000000,0,3,1,0,offline,13,Low,0,Bronze,Low Value,0.3774,Low,High Risk,0,Active,South East
93,Male,38,36-45,Manager / Executive,0,Priority,785,99922101,88000000,0,2,8,1,mobile,91,High,1,Bronze,High Value,0.0428,Low,Medium Risk,0,Active,South West
94,Male,51,46-55,Manual Worker,1,Mass,615,21762943,13000000,3,2,4,0,offline,21,Medium,0,Bronze,Medium Value,0.3752,Low,Already Churned,1,Churned,South East
95,Female,52,46-55,Retired,1,Emerging,685,20865548,17000000,2,4,1,0,offline,16,Low,0,Bronze,Low Value,0.3352,Low,High Risk,0,Active,West Midlands
96,Female,38,36-45,Office Worker / Civil Servant,1,Emerging,663,37061078,22000000,3,1,1,0,offline,7,Low,0,Bronze,Low Value,0.3403,Low,Already Churned,1,Churned,South West
97,Male,84,65+,Small Business Owner,1,Priority,762,189172355,160000000,0,5,7,0,offline,41,High,1,Bronze,High Value,0.1526,Low,High Risk,0,Active,North West
98,Female,55,46-55,Small Business Owner,3,Priority,743,421540487,135000000,4,5,7,1,mobile,87,High,1,Gold,High Value,0.0379,Low,Low Risk,0,Active,South East
99,Female,35,26-35,Accounting / Finance,1,Emerging,639,65345502,29000000,2,3,8,1,mobile,85,High,1,Silver,High Value,0.1509,Low,Low Risk,0,Active,East of England
100,Male,61,56-65,Small Business Owner,1,Priority,748,152214738,156000000,2,5,5,0,offline,34,Medium,0,Bronze,Medium Value,0.1802,Low,High Risk,0,Active,South East
101,Male,64,56-65,Teacher / Lecturer,1,Emerging,657,32502993,23000000,2,2,3,0,offline,17,Low,0,Bronze,Low Value,0.3208,Low,High Risk,0,Active,North West
102,Male,54,46-55,Student / Homemaker,1,Mass,659,9862427,11000000,2,2,3,0,offline,17,Low,0,Bronze,Low Value,0.3572,Low,Already Churned,1,Churned,South East
103,Female,44,36-45,Teacher / Lecturer,1,Emerging,626,40404791,31000000,4,2,6,0,offline,28,Medium,0,Bronze,Medium Value,0.2957,Low,High Risk,0,Active,South East
104,Female,37,36-45,Manual Worker,1,Mass,638,4053205,11000000,0,2,1,1,mobile,56,High,1,Bronze,Medium Value,0.309,Low,Medium Risk,0,Active,South East
105,Male,46,46-55,Teacher / Lecturer,1,Emerging,654,8578154,19000000,2,2,2,0,offline,14,Low,0,Bronze,Low Value,0.3604,Low,Already Churned,1,Churned,North East
106,Female,53,46-55,Accounting / Finance,1,Affluent,665,28701916,38000000,0,3,3,1,mobile,66,High,1,Bronze,Medium Value,0.1793,Low,Medium Risk,0,Active,London
107,Female,47,46-55,Teacher / Lecturer,1,Emerging,673,11852106,17000000,3,1,5,0,offline,22,Medium,0,Bronze,Medium Value,0.304,Low,High Risk,0,Active,South East
108,Male,74,65+,Manual Worker,0,Mass,615,11305216,14000000,0,3,4,0,offline,24,Medium,0,Bronze,Medium Value,0.3811,Low,High Risk,0,Active,East of England
109,Male,58,56-65,Small Business Owner,1,Priority,707,113785695,135000000,3,3,8,0,offline,39,High,1,Silver,High Value,0.1462,Low,High Risk,0,Active,South East
110,Female,36,36-45,Office Worker / Civil Servant,1,Emerging,741,15631314,21000000,2,1,4,0,offline,18,Low,0,Bronze,Low Value,0.2782,Low,High Risk,0,Active,South East
111,Female,34,26-35,Retired,1,Mass,675,40100956,14000000,4,2,5,0,offline,25,Medium,0,Bronze,Medium Value,0.2933,Low,High Risk,0,Active,South East
112,Male,55,46-55,Manager / Executive,0,Priority,766,159603279,118000000,3,4,8,0,offline,42,High,1,Silver,High Value,0.1421,Low,High Risk,0,Active,West Midlands
113,Male,44,36-45,Small Business Owner,1,Priority,752,45507250,71000000,4,5,5,0,offline,34,Medium,0,Bronze,Medium Value,0.1948,Low,High Risk,0,Active,Other UK Region
114,Male,59,56-65,Manual Worker,1,Emerging,655,8002063,18000000,0,2,5,0,offline,25,Medium,0,Bronze,Medium Value,0.3247,Low,High Risk,0,Active,South East
115,Female,55,46-55,Accounting / Finance,0,Emerging,676,12589404,15000000,2,2,2,0,offline,14,Low,0,Bronze,Low Value,0.3418,Low,High Risk,0,Active,South East
116,Female,46,46-55,Student / Homemaker,0,Mass,699,20772852,9000000,1,3,1,0,offline,13,Low,0,Bronze,Low Value,0.3372,Low,High Risk,0,Active,South East
117,Female,36,36-45,Student / Homemaker,1,Mass,650,5554789,9000000,0,5,4,0,offline,30,Medium,0,Bronze,Medium Value,0.3646,Low,High Risk,0,Active,South West
118,Male,29,26-35,Student / Homemaker,1,Mass,788,3046803,6000000,0,2,4,1,mobile,67,High,1,Bronze,Medium Value,0.2229,Low,Medium Risk,0,Active,East of England
119,Male,51,46-55,Business / Sales,1,Mass,669,12293876,10000000,1,1,7,1,mobile,73,High,1,Silver,Medium Value,0.1916,Low,Low Risk,0,Active,West Midlands
120,Female,32,26-35,Manager / Executive,0,Affluent,711,65940413,52000000,2,2,4,0,offline,21,Medium,0,Bronze,Medium Value,0.2028,Low,High Risk,0,Active,South East
121,Female,36,36-45,Business / Sales,1,Emerging,729,8452036,17000000,1,3,2,0,offline,16,Low,0,Bronze,Low Value,0.3186,Low,High Risk,0,Active,South East
122,Female,50,46-55,Retired,1,Mass,679,5673715,7000000,3,3,1,0,offline,13,Low,0,Bronze,Low Value,0.3769,Low,Already Churned,1,Churned,South East
123,Female,48,46-55,Teacher / Lecturer,0,Emerging,698,68729723,28000000,1,4,8,1,mobile,97,High,1,Silver,High Value,0.0933,Low,Low Risk,0,Active,South East
124,Female,33,26-35,Manual Worker,1,Mass,680,7643739,13000000,3,3,1,0,offline,13,Low,0,Bronze,Low Value,0.3603,Low,High Risk,0,Active,South East
125,Male,66,65+,Business / Sales,1,Affluent,657,78382689,36000000,1,3,4,0,offline,24,Medium,0,Bronze,Medium Value,0.2717,Low,High Risk,0,Active,East Midlands
126,Male,66,65+,Small Business Owner,1,Priority,643,257307876,93000000,2,3,4,0,offline,24,Medium,0,Bronze,Medium Value,0.2434,Low,High Risk,0,Active,Other UK Region
127,Female,56,56-65,Student / Homemaker,1,Mass,703,15333785,11000000,3,2,7,0,offline,32,Medium,0,Bronze,Medium Value,0.2609,Low,High Risk,0,Active,East Midlands
128,Female,56,56-65,Engineer / IT Professional,1,Affluent,688,178474119,42000000,4,3,5,0,offline,28,Medium,0,Bronze,Medium Value,0.2063,Low,High Risk,0,Active,South West
129,Male,56,56-65,Manual Worker,1,Mass,609,21481595,14000000,2,2,6,0,offline,28,Medium,0,Bronze,Medium Value,0.3543,Low,Already Churned,1,Churned,Other UK Region
130,Female,90,65+,Office Worker / Civil Servant,1,Emerging,642,15652668,21000000,0,2,3,1,mobile,72,High,1,Bronze,Medium Value,0.2437,Low,Medium Risk,0,Active,South East
131,Male,64,56-65,Student / Homemaker,1,Mass,652,6015558,9000000,0,4,1,0,offline,16,Low,0,Bronze,Low Value,0.3992,Low,Already Churned,1,Churned,South East
132,Female,58,56-65,Teacher / Lecturer,1,Emerging,713,15507827,23000000,1,2,5,0,offline,25,Medium,0,Bronze,Medium Value,0.2618,Low,High Risk,0,Active,South East
133,Female,37,36-45,Office Worker / Civil Servant,1,Emerging,723,19161177,26000000,0,4,5,1,mobile,86,High,1,Bronze,Medium Value,0.1482,Low,Medium Risk,0,Active,South East
134,Female,44,36-45,Engineer / IT Professional,0,Priority,767,67329877,63000000,3,2,5,0,offline,25,Medium,0,Bronze,Medium Value,0.19,Low,High Risk,0,Active,South East
135,Male,90,65+,Student / Homemaker,1,Mass,682,25520430,13000000,3,2,2,0,offline,14,Low,0,Bronze,Low Value,0.3313,Low,Already Churned,1,Churned,South East
136,Female,26,26-35,Business / Sales,0,Emerging,678,32797834,15000000,3,4,1,0,offline,16,Low,0,Bronze,Low Value,0.3407,Low,High Risk,0,Active,South East
137,Male,41,36-45,Office Worker / Civil Servant,1,Emerging,686,21850308,17000000,4,2,1,0,offline,10,Low,0,Bronze,Low Value,0.3336,Low,High Risk,0,Active,North West
138,Male,67,65+,Manual Worker,1,Mass,609,22359933,14000000,1,1,3,0,offline,14,Low,0,Bronze,Low Value,0.3913,Low,Already Churned,1,Churned,North East
139,Male,37,36-45,Manual Worker,1,Mass,646,47174349,8000000,4,1,3,0,offline,14,Low,0,Bronze,Low Value,0.3573,Low,High Risk,0,Active,South East
140,Female,59,56-65,Office Worker / Civil Servant,2,Emerging,678,27643308,21000000,2,2,3,0,offline,17,Low,0,Bronze,Low Value,0.3058,Low,High Risk,0,Active,South West
141,Female,48,46-55,Engineer / IT Professional,0,Priority,770,199606866,69000000,4,3,3,0,offline,20,Low,0,Bronze,Medium Value,0.2019,Low,High Risk,0,Active,South East
142,Male,38,36-45,Engineer / IT Professional,1,Affluent,644,82235684,43000000,3,4,5,0,offline,31,Medium,0,Bronze,Medium Value,0.2576,Low,High Risk,0,Active,South East
143,Male,25,18-25,Student / Homemaker,1,Mass,617,5432014,6000000,1,2,6,0,offline,28,Medium,0,Bronze,Medium Value,0.3789,Low,Already Churned,1,Churned,North West
144,Male,50,46-55,Manual Worker,1,Emerging,613,43294357,16000000,1,4,4,0,offline,27,Medium,0,Bronze,Medium Value,0.3629,Low,High Risk,0,Active,South East
145,Female,37,36-45,Student / Homemaker,0,Mass,716,2042992,6000000,1,2,1,0,offline,10,Low,0,Bronze,Low Value,0.3702,Low,High Risk,0,Active,South West
146,Male,45,36-45,Small Business Owner,1,Priority,702,55385194,65000000,0,2,7,0,offline,32,Medium,0,Bronze,Medium Value,0.1674,Low,High Risk,0,Active,London
147,Female,55,46-55,Accounting / Finance,1,Emerging,697,73125401,32000000,4,2,5,0,offline,25,Medium,0,Bronze,Medium Value,0.2281,Low,High Risk,0,Active,South East
148,Male,62,56-65,Student / Homemaker,3,Mass,701,39938509,11000000,4,1,4,0,offline,18,Low,0,Bronze,Low Value,0.2869,Low,High Risk,0,Active,South East
149,Female,40,36-45,Office Worker / Civil Servant,1,Emerging,672,30993880,17000000,4,2,1,0,offline,10,Low,0,Bronze,Low Value,0.3434,Low,High Risk,0,Active,South East
150,Female,38,36-45,Student / Homemaker,1,Mass,673,5267259,8000000,0,1,1,0,offline,7,Low,0,Bronze,Low Value,0.3818,Low,Already Churned,1,Churned,West Midlands
151,Male,32,26-35,Accounting / Finance,0,Emerging,657,51933257,30000000,3,5,1,0,offline,19,Low,0,Bronze,Low Value,0.3262,Low,High Risk,0,Active,East Midlands
152,Female,63,56-65,Accounting / Finance,1,Affluent,648,59955620,43000000,3,1,6,0,offline,26,Medium,0,Bronze,Medium Value,0.2449,Low,High Risk,0,Active,East Midlands
153,Female,90,65+,Manual Worker,1,Mass,682,25359990,12000000,0,3,2,1,mobile,59,High,1,Bronze,Medium Value,0.2283,Low,Medium Risk,0,Active,East of England
154,Male,65,56-65,Office Worker / Civil Servant,3,Emerging,704,9533203,17000000,0,4,2,0,offline,20,Low,0,Bronze,Medium Value,0.3171,Low,High Risk,0,Active,Other UK Region
155,Female,70,65+,Teacher / Lecturer,3,Emerging,706,34772678,29000000,4,4,3,0,offline,23,Medium,0,Bronze,Medium Value,0.265,Low,High Risk,0,Active,East of England
156,Female,38,36-45,Small Business Owner,1,Priority,731,113729689,93000000,3,4,5,0,offline,31,Medium,0,Bronze,Medium Value,0.1837,Low,High Risk,0,Active,South West
157,Male,54,46-55,Accounting / Finance,1,Emerging,676,17848005,21000000,0,2,4,0,offline,21,Medium,0,Bronze,Medium Value,0.3006,Low,High Risk,0,Active,West Midlands
